,Country,confirmed_inc,deaths_inc,recoveries_inc
542835,Turkey,61967.0,362.0,52213.0
542836,Turkey,54791.0,354.0,65593.0
542837,Turkey,49438.0,343.0,60176.0
542838,Turkey,40596.0,339.0,52297.0
542839,Turkey,38553.0,347.0,51236.0
542840,Turkey,37312.0,353.0,48027.0
542841,Turkey,43301.0,346.0,45592.0
542842,Turkey,40444.0,341.0,45198.0
542843,Turkey,37674.0,339.0,43253.0
542844,Turkey,31891.0,394.0,68183.0
542845,Turkey,28817.0,373.0,81302.0
542846,Turkey,25980.0,340.0,75182.0
542847,Turkey,24733.0,347.0,35438.0
542848,Turkey,28997.0,336.0,38218.0
542849,Turkey,26476.0,356.0,35464.0
